"analysis_name","category","group_a","group_b","group_a_n","group_b_n","category_total_n","group_a_pct","group_b_pct","group_a_minus_group_b_percentage_points","within_category_group_a_rate_pct","expected_group_a_n_under_independence","expected_group_b_n_under_independence","observed_minus_expected_group_a_n","observed_to_expected_group_a_ratio","chi_square_statistic","degrees_of_freedom","cramers_v","concentration_band","minimum_expected_cell_count","expected_cells_below_5_n","expected_cells_below_1_n","sparse_cell_warning","reproduction_pass","row_order_invariance_pass"
"icb","NHS Somerset Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",28,11,39,1.92307692307692,0.703324808184143,1.21975211489278,71.7948717948718,18.8026490066225,20.1973509933775,9.19735099337748,1.48915187376726,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS South East London Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",107,40,147,7.3489010989011,2.55754475703325,4.79135634186785,72.7891156462585,70.8715231788079,76.1284768211921,36.1284768211921,1.50977423936608,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS South West London Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",74,29,103,5.08241758241758,1.8542199488491,3.22819763356848,71.8446601941748,49.6582781456954,53.3417218543046,24.3417218543046,1.49018457270884,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS South Yorkshire Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",23,4,27,1.57967032967033,0.255754475703325,1.323915853967,85.1851851851852,13.0172185430464,13.9827814569536,9.98278145695364,1.76689051689052,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",0,67,67,0,4.28388746803069,-4.28388746803069,0,32.3019867549669,34.6980132450331,-32.3019867549669,0,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Suffolk and North East Essex Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",15,4,19,1.03021978021978,0.255754475703325,0.774465304516455,78.9473684210526,9.16026490066225,9.83973509933775,5.83973509933775,1.63750722961249,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Surrey Heartlands ICB","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",46,18,64,3.15934065934066,1.15089514066496,2.0084455186757,71.875,30.8556291390728,33.1443708609272,15.1443708609272,1.49081387362637,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Sussex ICB","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",49,10,59,3.36538461538462,0.639386189258312,2.7259984261263,83.0508474576271,28.4450331125828,30.5549668874172,20.5549668874172,1.72262059973924,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS West Yorkshire Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",63,13,76,4.32692307692308,0.831202046035806,3.49572103088727,82.8947368421053,36.641059602649,39.358940397351,26.358940397351,1.71938259109312,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"current_ods_status","ACTIVE","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",1448,1562,3010,99.4505494505494,99.8721227621483,-0.421573311598891,48.1063122923588,1451.17880794702,1558.82119205298,-3.17880794701978,0.997809499470629,4.06054931889533,1,0.0366681435936032,"No clear",4.82119205298013,1,0,TRUE,TRUE,TRUE
"current_ods_status","DORMANT","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",8,2,10,0.549450549450549,0.127877237851662,0.421573311598887,80,4.82119205298013,5.17880794701987,3.17880794701987,1.65934065934066,4.06054931889533,1,0.0366681435936032,"No clear",4.82119205298013,1,0,TRUE,TRUE,TRUE
