"analysis_name","category","group_a","group_b","group_a_n","group_b_n","category_total_n","group_a_pct","group_b_pct","group_a_minus_group_b_percentage_points","within_category_group_a_rate_pct","expected_group_a_n_under_independence","expected_group_b_n_under_independence","observed_minus_expected_group_a_n","observed_to_expected_group_a_ratio","chi_square_statistic","degrees_of_freedom","cramers_v","concentration_band","minimum_expected_cell_count","expected_cells_below_5_n","expected_cells_below_1_n","sparse_cell_warning","reproduction_pass","row_order_invariance_pass"
"icb","NHS Frimley Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",47,15,62,1.55629139072848,0.492287495897604,1.06400389483087,75.8064516129032,30.8620405472227,31.1379594527773,16.1379594527773,1.52290643024995,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Gloucestershire Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",18,45,63,0.596026490066225,1.47686248769281,-0.880835997626587,28.5714285714286,31.3598153947585,31.6401846052415,-13.3598153947585,0.573982970671712,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Greater Manchester Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",271,124,395,8.97350993377484,4.06957663275353,4.90393330102131,68.6075949367089,196.621064776661,198.378935223339,74.3789352233394,1.37828569033448,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Hampshire and Isle of Wight Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",67,58,125,2.21854304635762,1.90351165080407,0.315031395553546,53.6,62.2218559419812,62.7781440580188,4.77814405801879,1.07679205298013,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Herefordshire and Worcestershire Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",72,6,78,2.3841059602649,0.196914998359042,2.18719096190586,92.3076923076923,38.8264381077963,39.1735618922037,33.1735618922037,1.85440652063169,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Hertfordshire and West Essex Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",80,43,123,2.64900662251656,1.41122415490647,1.23778246761009,65.0406504065041,61.2263062469095,61.7736937530905,18.7736937530905,1.30662790071609,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Humber and North Yorkshire Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",64,93,157,2.11920529801325,3.05218247456515,-0.932977176551901,40.7643312101911,78.1506510631284,78.8493489368716,-14.1506510631284,0.818931117391488,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Kent and Medway Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",57,117,174,1.88741721854305,3.83984246800131,-1.95242524945827,32.7586206896552,86.6128234712378,87.3871765287622,-29.6128234712378,0.658101164649463,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Lancashire and South Cumbria Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",119,74,193,3.94039735099338,2.42861831309485,1.51177903789853,61.6580310880829,96.070545574419,96.929454425581,22.929454425581,1.23867309473973,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Leicester, Leicestershire and Rutland Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",57,69,126,1.88741721854305,2.26452248112898,-0.377105262585933,45.2380952380952,62.7196307895171,63.2803692104829,-5.71963078951706,0.908806370230211,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
